account_id,client_id,debtor_id,original_balance,current_balance,placement_date,charge_off_date,status
AC50001,CL001,DB1001,5200.00,3100.50,2023-07-01,2023-05-15,ACTIVE
AC50002,CL002,DB1002,1800.75,1800.75,2023-08-12,2023-06-20,ACTIVE
AC50003,CL003,DB1003,940.00,0.00,2023-09-05,2023-07-01,PAID
AC50004,CL001,DB1004,12500.00,9800.00,2023-09-20,2023-07-15,ACTIVE
AC50005,CL004,DB1005,3300.00,3300.00,2023-10-01,2023-08-01,ACTIVE
AC50006,CL002,DB1006,760.50,200.00,2023-10-15,2023-08-10,ACTIVE
AC50007,CL005,DB1007,2100.00,0.00,2023-11-01,2023-09-01,PAID
AC50008,CL003,DB1008,5600.00,5600.00,2023-11-20,2023-09-15,DISPUTED
AC50009,CL004,DB1001,890.00,445.00,2023-12-01,2023-10-01,ACTIVE
AC50010,CL005,DB1005,4200.00,4200.00,2024-01-10,2023-11-01,ACTIVE
